IP; Estado; Puerto 445; Puerto 3389
192.168.9.199;No Vulnerable;open;Not Scanned
172.28.18.20;No Vulnerable;open;Not Scanned
192.168.184.28;No Vulnerable;open;Not Scanned
192.168.22.42;No Vulnerable;open;Not Scanned
192.168.14.64;No Vulnerable;open;Not Scanned
192.168.37.27;No Vulnerable;open;Not Scanned
172.28.39.42;No Vulnerable;open;Not Scanned
192.168.6.38;Vulnerable;open;Not Scanned
172.28.171.227;No Vulnerable;open;Not Scanned
10.81.181.73;No Vulnerable;open;Not Scanned
192.168.40.58;No Vulnerable;open;Not Scanned
192.168.16.216;Vulnerable;open;Not Scanned
172.28.18.171;No Vulnerable;open;Not Scanned
172.28.18.166;No Vulnerable;open;Not Scanned
172.28.41.160;No Vulnerable;open;Not Scanned
172.28.171.133;No Vulnerable;open;Not Scanned
172.28.171.55;No Vulnerable;open;Not Scanned
192.168.167.130;No Vulnerable;open;Not Scanned
192.168.152.84;No Vulnerable;open;Not Scanned
192.168.196.115;Vulnerable;open;Not Scanned
192.168.200.155;No Vulnerable;open;Not Scanned
192.168.41.3;Vulnerable;open;Not Scanned
172.28.141.175;No Vulnerable;open;Not Scanned
192.168.6.75;No Vulnerable;open;Not Scanned
172.28.100.139;No Vulnerable;open;Not Scanned
192.168.57.49;No Vulnerable;open;Not Scanned
192.168.167.135;No Vulnerable;open;Not Scanned
192.168.22.28;Vulnerable;open;Not Scanned
172.28.122.188;No Vulnerable;open;Not Scanned
192.168.85.200;No Vulnerable;open;Not Scanned
192.168.41.73;No Vulnerable;open;Not Scanned
172.28.171.199;No Vulnerable;open;Not Scanned
192.168.167.86;No Vulnerable;open;Not Scanned
172.28.171.175;No Vulnerable;open;Not Scanned
192.168.40.162;No Vulnerable;open;Not Scanned
172.28.72.180;Vulnerable;open;Not Scanned
172.28.129.109;No Vulnerable;open;Not Scanned
172.28.18.168;No Vulnerable;open;Not Scanned
192.168.26.90;No Vulnerable;open;Not Scanned
192.168.40.27;No Vulnerable;open;Not Scanned
192.168.85.50;No Vulnerable;open;Not Scanned
172.28.129.40;No Vulnerable;open;Not Scanned
192.168.40.132;No Vulnerable;open;Not Scanned
192.168.16.133;No Vulnerable;open;Not Scanned
192.168.16.156;No Vulnerable;open;Not Scanned
192.168.41.48;No Vulnerable;open;Not Scanned
172.28.159.171;No Vulnerable;open;Not Scanned
192.168.37.72;Vulnerable;open;Not Scanned
192.168.57.60;No Vulnerable;open;Not Scanned
192.168.167.146;Vulnerable;open;Not Scanned
192.168.53.150;No Vulnerable;open;Not Scanned
192.168.183.79;No Vulnerable;open;Not Scanned
192.168.167.155;No Vulnerable;open;Not Scanned
192.168.40.40;No Vulnerable;open;Not Scanned
192.168.6.162;No Vulnerable;open;Not Scanned
192.168.12.123;No Vulnerable;open;Not Scanned
192.168.16.150;No Vulnerable;open;Not Scanned
192.168.14.51;No Vulnerable;open;Not Scanned
172.28.18.202;Vulnerable;open;Not Scanned
172.28.18.44;No Vulnerable;open;Not Scanned
192.168.167.175;No Vulnerable;open;Not Scanned
172.28.41.104;No Vulnerable;open;Not Scanned
192.168.16.118;No Vulnerable;open;Not Scanned
172.28.122.197;No Vulnerable;open;Not Scanned
192.168.40.188;No Vulnerable;open;Not Scanned
172.28.41.101;No Vulnerable;open;Not Scanned
172.28.171.172;No Vulnerable;open;Not Scanned
172.28.171.69;No Vulnerable;open;Not Scanned
192.168.146.70;No Vulnerable;open;Not Scanned
192.168.40.26;No Vulnerable;open;Not Scanned
192.168.85.81;No Vulnerable;open;Not Scanned
172.28.100.48;No Vulnerable;open;Not Scanned
192.168.152.73;No Vulnerable;open;Not Scanned
172.28.171.46;No Vulnerable;open;Not Scanned
192.168.85.80;No Vulnerable;open;Not Scanned
172.28.39.54;No Vulnerable;open;Not Scanned
192.168.146.64;No Vulnerable;open;Not Scanned
172.28.41.28;No Vulnerable;open;Not Scanned
192.168.40.202;Vulnerable;open;Not Scanned
