IP; Estado; Puerto 445; Puerto 3389
10.56.137.38;Vulnerable;open;Not Scanned
10.56.128.45;No Vulnerable;open;Not Scanned
10.56.136.66;Vulnerable;open;Not Scanned
10.56.136.59;Vulnerable;open;Not Scanned
10.56.128.42;No Vulnerable;open;Not Scanned
10.56.141.213;No Vulnerable;open;Not Scanned
10.56.131.205;No Vulnerable;open;Not Scanned
10.56.140.6;Vulnerable;open;Not Scanned
10.56.143.204;Vulnerable;open;Not Scanned
10.56.137.33;Vulnerable;open;Not Scanned
10.56.141.33;No Vulnerable;open;Not Scanned
10.56.137.32;Vulnerable;open;Not Scanned
10.56.128.72;No Vulnerable;open;Not Scanned
10.56.136.56;No Vulnerable;open;Not Scanned
10.56.136.218;No Vulnerable;open;Not Scanned
10.56.140.38;Vulnerable;open;Not Scanned
10.56.141.13;No Vulnerable;open;Not Scanned
10.56.143.203;Vulnerable;open;Not Scanned
10.56.141.19;No Vulnerable;open;Not Scanned
10.56.128.49;No Vulnerable;open;Not Scanned
10.56.128.50;No Vulnerable;open;Not Scanned
10.56.136.220;Vulnerable;open;Not Scanned
10.56.136.55;Vulnerable;open;Not Scanned
10.56.128.211;No Vulnerable;open;Not Scanned
10.56.136.210;No Vulnerable;open;Not Scanned
10.56.136.217;No Vulnerable;open;Not Scanned
10.56.139.8;No Vulnerable;open;Not Scanned
10.56.136.219;No Vulnerable;open;Not Scanned
10.56.128.38;No Vulnerable;open;Not Scanned
10.56.137.31;Vulnerable;open;Not Scanned
10.56.128.215;No Vulnerable;open;Not Scanned
10.56.112.205;No Vulnerable;open;Not Scanned
10.56.112.82;Vulnerable;open;Not Scanned
10.56.112.207;No Vulnerable;open;Not Scanned
10.56.96.74;Vulnerable;open;Not Scanned
10.56.104.39;Vulnerable;open;Not Scanned
10.56.209.18;No Vulnerable;open;Not Scanned
10.56.96.205;No Vulnerable;open;Not Scanned
10.56.96.206;No Vulnerable;open;Not Scanned
10.56.96.211;Vulnerable;open;Not Scanned
10.56.109.77;Vulnerable;open;Not Scanned
10.56.209.195;No Vulnerable;open;Not Scanned
10.56.96.214;Vulnerable;open;Not Scanned
10.56.209.113;No Vulnerable;open;Not Scanned
10.56.107.12;Vulnerable;open;Not Scanned
10.56.107.11;Vulnerable;open;Not Scanned
10.56.112.48;Vulnerable;open;Not Scanned
10.56.112.206;No Vulnerable;open;Not Scanned
10.56.112.250;Vulnerable;open;Not Scanned
10.56.109.56;Vulnerable;open;Not Scanned
10.56.96.67;Vulnerable;open;Not Scanned
10.56.146.18;Vulnerable;open;Not Scanned
10.56.208.113;No Vulnerable;open;Not Scanned
10.56.96.49;Vulnerable;open;Not Scanned
10.56.208.110;No Vulnerable;open;Not Scanned
10.56.96.210;Vulnerable;open;Not Scanned
10.56.112.217;No Vulnerable;open;Not Scanned
10.56.96.217;No Vulnerable;open;Not Scanned
10.56.96.207;No Vulnerable;open;Not Scanned
10.56.122.42;Vulnerable;open;Not Scanned
10.56.112.218;No Vulnerable;open;Not Scanned
